구분,읍면동,등록수
처인구,김량장동,64
처인구,역북동,103
처인구,삼가동,150
처인구,남동,64
처인구,유방동,34
처인구,고림동,95
처인구,마평동,22
처인구,운학동,13
처인구,호동,7
처인구,포곡읍,142
처인구,모현읍,192
처인구,이동읍,98
처인구,남사읍,173
처인구,원삼면,105
처인구,백암면,67
처인구,양지면,140
기흥구,신갈동,183
기흥구,구갈동,832
기흥구,상갈동,42
기흥구,하갈동,41
기흥구,보라동,105
기흥구,지곡동,36
기흥구,공세동,107
기흥구,고매동,29
기흥구,농서동,20
기흥구,서천동,95
기흥구,영덕동,384
기흥구,언남동,85
기흥구,마북동,124
기흥구,청덕동,69
기흥구,동백동,158
기흥구,중동,244
기흥구,상하동,97
기흥구,보정동,193
수지구,풍덕천동,222
수지구,죽전동,249
수지구,동천동,299
수지구,고기동,49
수지구,신봉동,177
수지구,성복동,297
수지구,상현동,351
