자치구별 경영활동 현황(2019),운영점포수 (개),종사자수 (명),평균영업기간 (년),면적당매출액 (백만원/3.3㎡),면적당종사자수 (명/3.3㎡)
서울시,585228,177958,6.2,11.5,0.07
종로구,20844,6946,8.5,12.5,0.09
중구,30475,10686,8.0,22.1,0.10
용산구,18222,6102,6.5,18.2,0.09
성동구,18195,5865,6.0,16.5,0.08
광진구,19846,5732,5.9,9.8,0.07
동대문구,21691,6053,7.3,13.4,0.07
중랑구,16600,3920,6.4,8.7,0.06
성북구,18550,4148,6.3,9.1,0.07
강북구,13490,3721,6.5,8.4,0.07
도봉구,12770,2921,6.0,8.3,0.07
노원구,20638,5019,5.5,8.7,0.06
은평구,20413,4584,5.9,8.3,0.07
서대문구,15290,3683,6.3,8.8,0.07
마포구,28119,8909,5.2,10.5,0.08
양천구,21160,5424,5.7,8.3,0.06
강서구,31351,8522,4.9,11.4,0.07
구로구,22023,7552,6.5,15.5,0.09
금천구,14522,4879,6.4,11.7,0.07
영등포구,25907,8616,6.4,11.1,0.07
동작구,18731,4891,6.3,12.1,0.08
관악구,21460,5789,6.0,9.3,0.07
서초구,36151,13801,6.4,10.7,0.07
강남구,51320,20523,5.7,10.2,0.07
송파구,45287,14015,6.0,17.3,0.08
강동구,22173,5657,5.9,8.5,0.06
