행정구역,개업수(2020 1분기),폐업수(2020 1분기),개업률(2020 1분기),폐업률(2020 1분기),개업수(2020 2분기),폐업수(2020 2분기),개업률(2020 2분기),폐업률(2020 2분기),개업수(2020 3분기),폐업수(2020 3분기),개업률(2020 3분기),폐업률(2020 3분기),개업수(2020 4분기),폐업수(2020 4분기),개업률(2020 4분기),폐업률(2020 4분기),개업수(2021 1분기),폐업수(2021 1분기),개업률(2021 1분기),폐업률(2021 1분기),개업수(2021 2분기),폐업수(2021 2분기),개업률(2021 2분기),폐업률(2021 2분기),개업수(2021 3분기),폐업수(2021 3분기),개업률(2021 3분기),폐업률(2021 4분기),개업수(2021 4분기),폐업수(2021 4분기),개업률(2021 4분기),폐업률(2021 4분기),개업수(2022 1분기),폐업수(2022 1분기),개업률(2022 1분기),폐업률(2022 1분기),개업수(2022 2분기),폐업수(2022 2분기),개업률(2022 2분기),폐업률(2022 2분기)
서울시 전체,1153,1024,5.5,4.9,1234,701,5.7,3.3,1301,901,5.9,4.1,1073,807,4.8,3.6,955,722,4.3,3.2,1532,858,6.6,3.7,1274,808,5.4,3.4,1316,812,5.5,3.4,1122,530,4.6,2.2,1465,709,5.8,2.8
종로구,39,42,3.1,3.3,45,32,3.5,2.5,46,36,3.6,2.8,52,33,4,2.5,47,27,3.6,2,70,41,5.2,3,52,44,3.8,3.2,60,43,4.4,3.1,52,24,3.7,1.7,61,26,4.2,1.8
중구,59,51,5,4.3,51,29,4.3,2.4,43,40,3.6,3.4,40,35,3.4,2.9,38,36,3.2,3,42,36,3.5,3,47,27,3.9,2.2,51,32,4.1,2.6,45,17,3.6,1.3,50,26,3.9,2
용산구,49,42,6,5.2,45,26,5.4,3.1,44,44,5.3,5.3,26,31,3.2,3.8,35,29,4.2,3.5,49,29,5.8,3.4,49,35,5.7,4.1,40,26,4.6,3,46,22,5.1,2.4,53,23,5.7,2.5
성동구,38,32,6,5.1,45,27,6.9,4.2,66,29,9.6,4.2,43,26,6.1,3.7,32,28,4.5,3.9,82,33,10.8,4.3,44,26,5.6,3.3,56,22,6.9,2.7,40,21,4.8,2.5,49,20,5.7,2.3
광진구,52,30,7.2,4.1,44,26,5.9,3.5,48,31,6.3,4.1,50,23,6.4,2.9,28,21,3.5,2.6,60,30,7.3,3.6,44,28,5.3,3.3,40,30,4.7,3.5,51,21,5.8,2.4,64,30,7.1,3.3
동대문구,30,34,5.1,5.8,39,21,6.4,3.5,36,21,5.8,3.4,30,21,4.8,3.3,21,12,3.3,1.9,52,25,7.8,3.8,44,21,6.4,3.1,46,19,6.4,2.7,37,15,5,2,46,18,6.1,2.4
중랑구,22,19,5.1,4.4,33,14,7.3,3.1,36,22,7.8,4.8,31,27,6.6,5.8,17,19,3.7,4.1,42,20,8.6,4.1,41,25,8.2,5,33,21,6.4,4.1,29,11,5.4,2.1,41,24,7.5,4.4
성북구,40,25,6.1,3.8,35,19,5.2,2.8,41,31,6,4.5,30,23,4.3,3.3,29,15,4.1,2.1,40,19,5.5,2.6,49,26,6.6,3.5,40,23,5.2,3,36,13,4.6,1.6,50,13,6.1,1.6
강북구,20,21,4.7,5,24,11,5.5,2.5,42,27,9.3,5.9,21,20,4.6,4.4,33,16,7,3.4,29,20,6,4.2,31,17,6.3,3.4,26,15,5.1,3,36,10,6.8,1.9,31,22,5.8,4.1
도봉구,19,21,5.8,6.4,21,13,6.3,3.9,19,10,5.6,2.9,21,9,5.9,2.5,20,13,5.6,3.6,28,20,7.6,5.4,24,15,6.4,4,21,12,5.5,3.1,23,11,5.8,2.8,19,17,4.8,4.3
노원구,30,29,4.7,4.6,31,24,4.8,3.8,32,21,4.9,3.2,25,26,3.8,4,34,24,5.2,3.6,40,31,6,4.6,31,21,4.6,3.1,33,26,4.8,3.8,34,11,4.8,1.6,39,20,5.4,2.8
은평구,34,27,5.9,4.7,42,19,7,3.2,40,26,6.5,4.2,43,25,6.8,3.9,37,30,5.8,4.7,53,29,8,4.4,38,31,5.6,4.6,51,19,7.2,2.7,42,17,5.8,2.3,42,23,5.7,3.1
서대문구,45,34,6.9,5.2,35,27,5.3,4.1,42,26,6.2,3.8,32,28,4.7,4.1,22,24,3.2,3.5,50,25,7.1,3.5,28,22,3.9,3.1,39,25,5.4,3.4,33,12,4.4,1.6,39,18,5.1,2.4
마포구,98,93,5.6,5.3,130,66,7.1,3.6,101,84,5.5,4.6,96,74,5.2,4,81,59,4.3,3.1,159,78,8.1,4,135,80,6.7,4,108,68,5.3,3.3,99,42,4.7,2,145,71,6.7,3.3
양천구,27,20,5.4,4,40,27,7.8,5.2,37,12,6.9,2.2,20,24,3.7,4.5,31,20,5.7,3.7,41,27,7.3,4.8,27,15,4.7,2.6,35,11,5.9,1.8,34,14,5.5,2.3,41,24,6.5,3.8
강서구,48,49,5.8,6,76,29,8.8,3.3,59,35,6.7,3.9,66,30,7.2,3.3,55,35,5.8,3.7,92,32,9.2,3.2,76,45,7.4,4.4,77,54,7.3,5.1,62,34,5.7,3.1,87,34,7.7,3
구로구,35,29,6.5,5.4,28,21,5.1,3.9,34,21,6.1,3.8,24,14,4.2,2.5,20,12,3.5,2.1,45,27,7.6,4.5,29,17,4.8,2.8,29,19,4.7,3.1,35,12,5.5,1.9,33,19,5.1,3
금천구,31,26,6.8,5.7,29,18,6.2,3.9,34,16,7,3.3,31,12,6.2,2.4,22,20,4.4,4,34,27,6.6,5.3,39,17,7.3,3.2,42,20,7.5,3.6,20,14,3.6,2.5,40,28,7,4.9
영등포구,50,45,4.7,4.2,59,33,5.4,3,72,54,6.5,4.9,51,37,4.6,3.3,63,47,5.6,4.1,63,38,5.4,3.3,67,46,5.7,3.9,52,34,4.3,2.8,49,27,4,2.2,63,31,5.1,2.5
동작구,37,32,5.9,5.1,23,28,3.7,4.5,35,23,5.5,3.6,36,30,5.6,4.7,30,24,4.7,3.7,40,31,6.1,4.8,27,28,4.1,4.3,42,29,6.3,4.4,30,18,4.4,2.7,48,26,6.9,3.8
관악구,35,41,5.2,6.1,44,26,6.3,3.7,58,40,8.1,5.6,37,33,5.2,4.6,34,26,4.7,3.6,61,33,8.1,4.4,36,24,4.7,3.1,59,27,7.4,3.4,45,23,5.5,2.8,55,31,6.6,3.7
서초구,73,54,5.4,4,69,37,5,2.7,67,52,4.8,3.7,68,50,4.8,3.5,48,42,3.4,3,67,39,4.6,2.7,73,47,5,3.2,65,52,4.4,3.5,58,38,3.9,2.5,73,41,4.8,2.7
강남구,127,123,5.4,5.2,117,63,4.8,2.6,122,106,5,4.4,110,93,4.5,3.8,84,73,3.4,3,126,84,5,3.4,107,73,4.2,2.9,136,82,5.2,3.2,76,52,2.9,2,136,55,5.1,2
송파구,69,66,5.4,5.2,81,40,6.2,3.1,98,65,7.3,4.8,54,60,4,4.5,60,39,4.4,2.9,94,48,6.7,3.4,89,54,6.2,3.8,92,74,6.3,5.1,63,37,4.3,2.5,102,46,6.7,3
강동구,46,39,6.8,5.8,48,25,6.8,3.5,49,29,6.7,4,36,23,4.9,3.1,34,31,4.6,4.2,73,36,9.4,4.6,47,24,5.9,3,43,29,5.3,3.5,47,14,5.5,1.6,58,23,6.6,2.6
