행정구역(업종 수),전체(2020 1분기),프랜차이즈(2020 1분기),일반(2020 1분기),전체(2020 2분기),프랜차이즈(2020 2분기),일반(2020 2분기),전체(2020 3분기),프랜차이즈(2020 3분기),일반(2020 3분기),전체(2020 4분기),프랜차이즈(2020 4분기),일반(2020 4분기),전체(2021 1분기),프랜차이즈(2021 1분기),일반(2021 1분기),전체(2021 2분기),프랜차이즈(2021 2분기),일반(2021 2분기),전체(2021 3분기),프랜차이즈(2021 3분기),일반(2021 3분기),전체(2021 4분기),프랜차이즈(2021 4분기),일반(2021 4분기),전체(2022 1분기),프랜차이즈(2022 1분기),일반(2022 1분기),전체(2022 2분기),프랜차이즈(2022 2분기),일반(2022 2분기)
서울시 전체,20988,5734,15254,21519,5823,15696,21902,5865,16037,22156,5890,16266,22386,5927,16459,23063,6026,17037,23512,6101,17411,24029,6203,17826,24616,6269,18347,25224,6338,18886
종로구,1261,325,936,1275,332,943,1283,326,957,1298,317,981,1321,325,996,1353,329,1024,1361,335,1026,1378,338,1040,1400,333,1067,1437,339,1098
중구,1173,401,772,1187,399,788,1189,395,794,1189,393,796,1190,394,796,1196,390,806,1215,393,822,1237,399,838,1262,400,862,1275,396,879
용산구,810,157,653,830,163,667,828,161,667,822,157,665,828,158,670,847,160,687,861,159,702,876,158,718,901,158,743,932,159,773
성동구,629,146,483,649,142,507,685,148,537,703,151,552,711,153,558,759,159,600,779,163,616,814,167,647,836,164,672,865,165,700
광진구,723,171,552,741,181,560,758,184,574,786,190,596,793,191,602,823,190,633,838,198,640,848,193,655,878,199,679,905,203,702
동대문구,589,147,442,605,149,456,619,152,467,628,156,472,636,156,480,664,162,502,687,168,519,714,182,532,736,185,551,760,186,574
중랑구,428,96,332,449,104,345,463,109,354,467,113,354,464,111,353,486,123,363,502,123,379,515,127,388,533,136,397,549,142,407
성북구,657,163,494,674,171,503,682,171,511,690,174,516,705,172,533,725,175,550,747,176,571,764,181,583,789,182,607,820,186,634
강북구,423,90,333,439,88,351,454,95,359,455,94,361,471,99,372,480,98,382,494,106,388,505,112,393,531,120,411,532,118,414
도봉구,326,72,254,333,74,259,341,78,263,353,82,271,359,86,273,367,90,277,376,95,281,385,97,288,397,104,293,394,105,289
노원구,633,196,437,640,193,447,651,195,456,650,193,457,659,192,467,669,194,475,678,198,480,684,199,485,708,207,501,723,212,511
은평구,578,144,434,602,145,457,617,149,468,636,154,482,642,153,489,666,158,508,673,160,513,704,172,532,730,174,556,740,169,571
서대문구,653,179,474,663,182,481,679,187,492,683,184,499,680,181,499,705,187,518,711,187,524,725,187,538,746,189,557,764,192,572
마포구,1763,302,1461,1821,312,1509,1837,310,1527,1858,309,1549,1879,313,1566,1958,317,1641,2014,322,1692,2052,323,1729,2111,325,1786,2171,333,1838
양천구,499,154,345,515,161,354,540,170,370,536,166,370,546,171,375,562,171,391,573,177,396,597,184,413,617,188,429,630,193,437
강서구,823,258,565,866,274,592,887,273,614,923,283,640,945,291,654,1003,304,699,1032,313,719,1055,316,739,1084,323,761,1130,327,803
구로구,539,200,339,545,197,348,558,204,354,568,211,357,576,211,365,594,215,379,606,218,388,616,224,392,638,228,410,642,232,410
금천구,456,178,278,467,183,284,485,187,298,504,192,312,505,186,319,513,189,324,535,200,335,557,207,350,563,209,354,569,209,360
영등포구,1067,349,718,1090,352,738,1108,355,753,1118,359,759,1134,362,772,1160,370,790,1174,372,802,1196,380,816,1218,385,833,1247,384,863
동작구,626,166,460,623,162,461,634,164,470,638,166,472,643,166,477,652,166,486,651,165,486,664,165,499,677,164,513,693,162,531
관악구,673,177,496,696,186,510,714,180,534,716,181,535,725,185,540,754,188,566,765,187,578,797,194,603,819,197,622,838,200,638
서초구,1344,384,960,1377,386,991,1391,383,1008,1410,383,1027,1414,387,1027,1443,385,1058,1468,384,1084,1479,385,1094,1499,379,1120,1522,384,1138
강남구,2366,751,1615,2414,754,1660,2430,752,1678,2449,748,1701,2461,747,1714,2504,747,1757,2536,741,1795,2601,750,1851,2618,747,1871,2691,758,1933
송파구,1271,351,920,1311,356,955,1342,358,984,1336,349,987,1356,350,1006,1400,368,1032,1433,374,1059,1449,376,1073,1474,379,1095,1516,383,1133
강동구,678,177,501,707,177,530,727,179,548,740,185,555,743,187,556,780,191,589,803,187,616,817,187,630,851,194,657,879,201,678
