행정구역(생존율),1년(2021년 4분기),3년(2021년 4분기),5년(2021년 4분기),1년(2022년 1분기),3년(2022년 1분기),5년(2022년 1분기),1년(2022년 2분기),3년(2022년 2분기),5년(2022년 2분기)
서울시 전체,70.7,41.9,30.7,73.2,47,39.2,73.2,47,36.5
종로구,76.7,51.6,42.9,68.1,47.2,40.3,68.3,47.7,39
중구,71.2,43.3,33.7,74.8,49,42.6,74.8,49,40.1
용산구,68.2,42.5,29.6,76.8,53,42.4,76.8,53,40.9
성동구,72.6,42.5,25.3,77,53.4,46.6,77,53.4,43.5
광진구,73.5,49.4,37.3,72.1,49.4,41.6,72.1,49.4,35.7
동대문구,69.3,37.3,28.8,68.1,50.4,45.9,68.1,50.4,43
중랑구,66.1,40.2,26.8,76.1,48.9,42.4,76.1,48.9,38
성북구,77.9,39.6,28.6,72.9,51.2,42.6,72.9,51.2,42.6
강북구,72.8,45.7,31.5,66.4,39.1,31.8,66.4,39.1,29.1
도봉구,72.1,40.7,23.3,79.5,51.3,42.3,79.5,51.3,38.5
노원구,75.7,41.7,29.2,70.7,44.4,36.8,70.7,44.4,30.1
은평구,68.7,41.2,32.1,73.4,43.9,35.3,73.4,43.9,32.4
서대문구,66.9,43.2,31.1,65.1,41.3,32.5,65.1,41.3,32.5
마포구,71.9,38.4,29.1,70.7,42.7,36,70.7,42.7,33.6
양천구,73.9,47.1,30.3,73.9,56.8,43.2,73.9,56.8,40.9
강서구,70.6,42.9,33.5,77.5,46.7,35.7,77.5,46.7,32
구로구,69.3,42.3,32.8,70.1,46.3,41.8,69.7,45.5,37.1
금천구,64,32,24,74,47,36,74,47,35
영등포구,70.2,43.8,33.2,78.5,51.2,42.1,78.5,51.2,39.2
동작구,71.9,41.8,26.8,85,50.4,38.3,85,50.4,36.8
관악구,65.9,39.5,26.5,71.3,44.8,37.6,71.3,44.8,35.4
서초구,70.6,45,30.5,73.4,49.6,43.4,73.4,49.6,41.4
강남구,69.6,40.8,32.4,70.5,40.7,35,70.5,40.7,32.6
송파구,66.4,37,27.3,73.6,48.2,39.8,73.6,48.2,36.1
강동구,74.1,41.3,29.4,78.8,46.6,39,78.8,46.6,38.4
