자치구별 쓰레기 수거 현황,수거현황방법,수거현황,2014,2015
소계,쓰레기 봉투에 의한 수거량,사업장,82660.0,73541.0
종로구,쓰레기 봉투에 의한 수거량,사업장,6385.0,6385.0
중구,쓰레기 봉투에 의한 수거량,사업장,12929.0,11195.0
용산구,쓰레기 봉투에 의한 수거량,사업장,2775.0,4772.0
성동구,쓰레기 봉투에 의한 수거량,사업장,9931.0,1085.0
광진구,쓰레기 봉투에 의한 수거량,사업장,1994.0,1458.0
동대문구,쓰레기 봉투에 의한 수거량,사업장,2117.0,2048.0
중랑구,쓰레기 봉투에 의한 수거량,사업장,671.0,2129.0
성북구,쓰레기 봉투에 의한 수거량,사업장,875.0,815.0
강북구,쓰레기 봉투에 의한 수거량,사업장,146.0,-
도봉구,쓰레기 봉투에 의한 수거량,사업장,-,880.0
노원구,쓰레기 봉투에 의한 수거량,사업장,1161.0,784.0
은평구,쓰레기 봉투에 의한 수거량,사업장,369.0,377.0
서대문구,쓰레기 봉투에 의한 수거량,사업장,2509.0,2444.0
마포구,쓰레기 봉투에 의한 수거량,사업장,618.0,893.0
양천구,쓰레기 봉투에 의한 수거량,사업장,5431.0,3672.0
강서구,쓰레기 봉투에 의한 수거량,사업장,2370.0,2322.0
구로구,쓰레기 봉투에 의한 수거량,사업장,-,-
금천구,쓰레기 봉투에 의한 수거량,사업장,259.0,273.0
영등포구,쓰레기 봉투에 의한 수거량,사업장,6780.0,-
동작구,쓰레기 봉투에 의한 수거량,사업장,3094.0,1824.0
관악구,쓰레기 봉투에 의한 수거량,사업장,-,-
서초구,쓰레기 봉투에 의한 수거량,사업장,8308.0,8226.0
강남구,쓰레기 봉투에 의한 수거량,사업장,393.0,8855.0
송파구,쓰레기 봉투에 의한 수거량,사업장,12003.0,13104.0
강동구,쓰레기 봉투에 의한 수거량,사업장,1542.0,-
