자치구별 영세장영업 매출액(2019),전체,외식업,서비스업,소매업
서울시,190.8,189.3,86.3,322.0
종로구,200.2,198.4,105.0,252.5
중구,244.9,213.0,116.4,283.2
용산구,255.1,195.2,78.5,445.6
성동구,260.5,187.3,84.3,481.1
광진구,170.8,186.1,78.7,295.2
동대문구,204.7,157.1,75.8,329.3
중랑구,146.0,140.5,70.3,242.4
성북구,142.5,160.3,71.6,231.5
강북구,141.1,145.9,74.7,221.1
도봉구,137.5,137.6,67.7,230.2
노원구,144.7,182.4,78.1,227.0
은평구,132.5,153.7,67.8,217.7
서대문구,146.6,173.0,76.2,237.0
마포구,173.6,199.9,89.6,292.3
양천구,143.2,174.0,73.8,257.2
강서구,183.6,183.6,71.4,363.5
구로구,238.3,172.1,84.5,400.0
금천구,239.5,169.5,95.3,383.2
영등포구,199.4,198.4,90.6,338.4
동작구,162.5,187.2,68.8,299.6
관악구,144.3,190.1,76.2,232.8
서초구,193.2,237.0,111.6,318.0
강남구,207.9,268.7,123.2,346.4
송파구,250.4,200.2,77.4,536.1
강동구,146.0,166.8,73.9,246.5
